Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
S32,SOUTH32 LIMITED,4,-1.47783251,-0.06,Sell,21763070,87052280,18744026542,5.15032348,0.7937,,Non-Energy Minerals
QBE,QBE INSURANCE GROUP LIMITED,12.02,0.67001675,0.08,Neutral,3570682,42919597.64,17710103489,31.48734177,0.3816,11651,Finance
BXB,BRAMBLES LIMITED,12.3,0.08136697,0.01,Buy,3717019,45719333.7,17044734204,21.34792427,0.5779,12000,Industrial Services
REA,REA GROUP LTD,123.77,-0.9364495,-1.17,Sell,173920,21526078.4,16506725542,42.89638124,2.9126,3103,Commercial Services
SHL,SONIC HEALTHCARE LIMITED,33.61,-0.3262159,-0.11,Strong Sell,813668,27347381.48,16188592042,11.14821338,3.0547,,Health Services
RHC,RAMSAY HEALTH CARE LIMITED,71.65,1.27208481,0.9,Neutral,834539,59794719.35,16115555824,60.94934528,1.1633,86000,Health Services
ASX,ASX LIMITED,78,-0.38314176,-0.3,Sell,347819,27129882,15158343425,29.80813271,2.6268,790,Finance
NCM,NEWCREST MINING LIMITED,17.03,0.1175779,0.02,Sell,3720251,63355874.53,15148743454,11.92596228,1.4303,,Non-Energy Minerals
CPU,COMPUTERSHARE LIMITED.,24.24,-1.46341463,-0.36,Sell,1412681,34243387.44,14851741234,47.34411085,0.5209,,Technology Services
JHX,JAMES HARDIE INDUSTRIES PLC,33.24,0.09033424,0.03,Sell,930818,30940390.32,14792785386,21.43687,1.5522,,Non-Energy Minerals
COH,COCHLEAR LIMITED,212.8,-0.55610075,-1.19,Sell,70347,14969841.6,14076285157,48.68277596,4.3956,4500,Health Technology
SUN,SUNCORP GROUP LIMITED,10.88,0.55452865,0.06,Sell,2059944,22412190.72,13661385503,21.08339829,0.5377,13000,Finance
EDV,ENDEAVOUR GROUP LIMITED,7.51,0.67024129,0.05,Sell,4482891,33666511.41,13359964905,26.98986975,0.2764,28000,Retail Trade
XRO,XERO LIMITED,83.37,-2.28551336,-1.95,Strong Sell,292463,24382640.31,12791396819,,-0.0579,4784,Technology Services
APA,APA GROUP,10.66,-1.11317254,-0.12,Sell,1538064,16395762.24,12719256152,55.25371604,0.1954,2000,Industrial Services
MIN,MINERAL RESOURCES LIMITED,58.71,-6.49784998,-4.08,Sell,1466771,86114125.41,11858920097,33.82352995,1.8564,3863,Non-Energy Minerals
IAG,INSURANCE AUSTRALIA GROUP LIMITED,4.68,0.86206897,0.04,Buy,6369339,29808506.52,11438065257,34.80870218,0.1409,,Finance
PLS,PILBARA MINERALS LIMITED,3.55,-2.20385675,-0.08,Buy,27579158,97906010.9,10822507687,19.64285714,0.1891,,Non-Energy Minerals
ORG,ORIGIN ENERGY LIMITED,6.07,-1.46103896,-0.09,Sell,4206475,25533303.25,10574880461,,-0.8149,5000,Utilities
MPL,MEDIBANK PRIVATE LIMITED,3.65,-0.81521739,-0.03,Buy,6664356,24324899.4,10134731864,25.73426573,0.143,3291,Finance
REH,REECE LIMITED,15.49,-0.38585209,-0.06,Sell,235319,3645091.31,10045054307,25.59249506,0.6076,9000,Distribution Services
TLC,THE LOTTERY CORPORATION LIMITED,4.48,-0.66518847,-0.03,Buy,3347353,14996141.44,10038231005,,,,Consumer Services
TPG,TPG TELECOM LIMITED.,5.29,-0.56390977,-0.03,Sell,1020638,5399175.02,9891698029,49.25925926,0.1081,5000,Communications
IGO,IGO LIMITED,12.59,-3.22828593,-0.42,Buy,4265645,53704470.55,9850278212,29.87370838,0.4372,,Non-Energy Minerals
QAN,QANTAS AIRWAYS LIMITED,5.28,1.53846154,0.08,Buy,9399281,49628203.68,9791314631,,-0.456,,Transportation
TWE,TREASURY WINE ESTATES LIMITED,13.16,-0.60422961,-0.08,Buy,2207166,29046304.56,9557270076,36.4738292,0.3647,2500,Consumer Non-Durables
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,25.68,1.22191565,0.31,Neutral,265814,6826103.52,9157755038,,-1.1692,,Energy Minerals
AKE,ALLKEM LIMITED,13.2,-3.43818581,-0.47,Buy,4106939,54211594.8,8716786017,20.34528948,0.6721,1300,Non-Energy Minerals
NST,NORTHERN STAR RESOURCES LTD,7.38,-0.93959732,-0.07,Strong Sell,6869009,50693286.42,8679072440,20.25557368,0.3695,3383,Non-Energy Minerals
OZL,OZ MINERALS LIMITED,25.33,0.11857708,0.03,Buy,2689809,68132861.97,8469048892.999999,22.74566124,1.1134,4733,Non-Energy Minerals
SGP,STOCKLAND,3.54,-0.28169014,-0.01,Sell,5116480,18112339.2,8461972640,6.14825078,0.579,1800,Finance
YAL,YANCOAL AUSTRALIA LIMITED,6.41,4.05844156,0.25,Buy,3643008,23351681.28,8133906078,3.06895177,2.013,3196,Energy Minerals
ALD,AMPOL LIMITED,31.98,-5.01930502,-1.69,Strong Sell,746361,23868624.78,8023631052,14.41784696,2.3409,8300,Energy Minerals
ALDCD,AMPOL FPO,34.5,,,,2100,72450,8023631052,,2.3409,8300,Energy Minerals
LYC,LYNAS RARE EARTHS LIMITED,8.3,-4.59770115,-0.4,Strong Sell,4732527,39279974.1,7850980400,14.57286432,0.5994,,Non-Energy Minerals
IEL,IDP EDUCATION LIMITED,28.02,-0.28469751,-0.08,Buy,727051,20371969.02,7816078393,76.37945094,0.3688,,Consumer Services
CAR,CARSALES.COM LIMITED.,21.84,-1.53291253,-0.34,Neutral,1079083,23567172.72,7785434614,39.53654189,0.5619,1700,Technology Services
BSL,BLUESCOPE STEEL LIMITED,16.1,-2.2465088,-0.37,Strong Sell,2037714,32807195.4,7749994667,2.90394227,5.7153,6700,Producer Manufacturing
ALX,ATLAS ARTERIA,7.95,-0.12562814,-0.01,Sell,1885621,14990686.95,7633785303,36.43020595,0.2188,,Industrial Services
WHC,WHITEHAVEN COAL LIMITED,7.97,1.0139417,0.08,Buy,9313339,74227311.83,7544950582,4.04366544,1.9761,,Energy Minerals
IPL,INCITEC PIVOT LIMITED,3.81,-1.5503876,-0.06,Neutral,4842058,18448240.98,7516410433,15.1586369,0.2558,5000,Process Industries
WOR,WORLEY LIMITED,13.82,-2.53878702,-0.36,Sell,1626842,22482956.44,7439452484,43.45694146,0.3281,51000,Industrial Services
SEK,SEEK LIMITED,20.59,1.08001964,0.22,Sell,1609488,33139357.92,7205966746,42.83011144,0.477,,Technology Services
LLC,LENDLEASE GROUP,10.18,0.2955665,0.03,Sell,1113578,11336224.04,6931504992,,-0.145,,Industrial Services
ORI,ORICA LIMITED,15.18,-0.84911822,-0.13,Strong Sell,1054882,16013108.76,6891369553,,-0.5924,13000,Process Industries
AZJ,AURIZON HOLDINGS LIMITED,3.71,0,0,Sell,3847836,14275471.56,6827499212,13.34052499,0.2788,4917,Transportation
SVW,SEVEN GROUP HOLDINGS LIMITED,18.66,0.0536193,0.01,Buy,664089,12391900.74,6767594138,12.2263013,1.536,6175,Distribution Services
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,2.8,0.35842294,0.01,Buy,3222111,9021910.8,6149074772,73.03664921,0.0383,6600,Industrial Services
ALQ,ALS LIMITED,11.57,-1.11111111,-0.13,Sell,761173,8806771.61,5664462716,29.8013245,0.3942,,Commercial Services
PME,PRO MEDICUS LIMITED,53.63,-0.22325581,-0.12,Buy,156744,8406180.72,5615312595,126.47058824,0.4263,,Health Services
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,60.87,-1.02439024,-0.63,Sell,534584,32540128.08,5325161373,33.62677019,1.8339,743,Consumer Services
HVN,HARVEY NORMAN HOLDINGS LIMITED,4.17,-0.47732697,-0.02,Sell,3334415,13904510.55,5220767691,6.44218942,0.6513,,Retail Trade
SDF,STEADFAST GROUP LIMITED,5,0,0,Sell,2363763,11818815,5141677856,28.01120448,0.1842,,Finance
QUB,QUBE HOLDINGS LIMITED,2.92,0.68965517,0.02,Buy,5618291,16405409.72,5120062034,46.47435897,0.0645,,Transportation
BEN,BENDIGO AND ADELAIDE BANK LIMITED,8.97,0.56053812,0.05,Sell,3458383,31021695.51,5031043918,9.47726307,1.1004,,Finance
AGL,AGL ENERGY LIMITED.,7.26,-0.54794521,-0.04,Sell,2241850,16275831,4911055078,5.5580935,1.3163,3897,Utilities
NXT,NEXTDC LIMITED,10.23,-2.478551,-0.26,Sell,2361936,24162605.28,4790305070,524.5,0.02,283,Technology Services
ALU,ALTIUM LIMITED,35.55,-2.0661157,-0.75,Buy,245277,8719597.35,4778586713,62.65101657,0.5817,,Technology Services
GQG,GQG PARTNERS INC.,1.56,-0.95238095,-0.015,Sell,374654,584460.24,4754020000,10.43737575,0.1509,,Finance
VEA,VIVA ENERGY GROUP LIMITED,2.87,-1.71232877,-0.05,Buy,3900433,11194242.71,4519981895,7.3,0.402,1447,Energy Minerals
BOQ,BANK OF QUEENSLAND LIMITED.,6.99,1.89504373,0.13,Sell,1834469,12822938.31,4433129797,11.11831442,0.6712,2218,Finance
JBH,JB HI-FI LIMITED,39.47,-0.8789553,-0.35,Strong Sell,452000,17840440,4353679224,8.34555896,4.7924,,Retail Trade
ILU,ILUKA RESOURCES LIMITED,9.9,-2.17391304,-0.22,Sell,1992691,19727640.9,4287038008.000001,7.1564953,1.4141,3252,Non-Energy Minerals
CGF,CHALLENGER LIMITED,6.31,0,0,Sell,1178799,7438221.69,4283516348,21.18871726,0.3764,770,Finance
AWC,ALUMINA LIMITED,1.42,-2.73972603,-0.04,Strong Sell,12376742,17574973.64,4235004216.999999,10.87118392,0.1343,,Non-Energy Minerals
NHC,NEW HOPE CORPORATION LIMITED,5.1,2,0.1,Buy,2141917,10923776.7,4161785278.000001,9.66370313,0.5588,750,Energy Minerals
EVN,EVOLUTION MINING LIMITED,2.16,-1.36986301,-0.03,Sell,12535104,27075824.64,4017266919,12.38687783,0.177,2000,Non-Energy Minerals
