Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
KSS,KLEOS SPACE S.A,0.32,-7.24637681,-0.025,Sell,13963,4468.16,58020900,,-0.0606,,Communications
WCG,WEBCENTRAL LTD,0.17,-2.85714286,-0.005,Strong Sell,1390632,236407.44,57941234,,,,Technology Services
BFC,BESTON GLOBAL FOOD COMPANY LIMITED,0.067,0,0,Strong Sell,616420,41300.14,57874564,,-0.0253,,Consumer Non-Durables
RFT,RECTIFIER TECHNOLOGIES LTD,0.041,-2.38095238,-0.001,Strong Sell,429195,17596.995,57779428,105,0.0004,,Producer Manufacturing
TI1,TOMBADOR IRON LIMITED,0.027,0,0,Sell,1040100,28082.7,57698520,5,0.0054,,Non-Energy Minerals
EM2,EAGLE MOUNTAIN MINING LIMITED,0.21,-2.3255814,-0.005,Strong Sell,703695,147775.95,57676992,,-0.1558,,Non-Energy Minerals
TTT,TITOMIC LIMITED,0.275,-1.78571429,-0.005,Buy,25163,6919.825,57330184,,-0.0905,,Technology Services
UBI,UNIVERSAL BIOSENSORS INC.,0.245,-7.54716981,-0.02,Strong Sell,296465,72633.925,57197900,,-0.0906,81,Health Technology
92E,92 ENERGY LIMITED,0.565,-0.87719298,-0.005,Buy,383529,216693.885,57145800,,-0.0786,,Non-Energy Minerals
ELS,ELSIGHT LIMITED,0.38,0,0,Neutral,85666,32553.08,57121440,,-0.0509,,Electronic Technology
RZI,RAIZ INVEST LIMITED,0.57,-6.55737705,-0.04,Strong Sell,146109,83282.13,57001735,,-0.1031,,Finance
KLL,KALIUM LAKES LIMITED,0.044,2.3255814,0.001,Sell,2221931,97764.964,56942112,,-0.024,,Non-Energy Minerals
MMM,MARLEY SPOON AG,0.2,0,0,Sell,709907,141981.4,56931800,,,,Consumer Non-Durables
NOU,NOUMI LIMITED,0.21,2.43902439,0.005,Sell,21831,4584.51,56807409,,-0.5798,580,Consumer Non-Durables
CAF,CENTREPOINT ALLIANCE LIMITED,0.285,-1.72413793,-0.005,Sell,190,54.15,56805748,8.65671642,0.0337,,Miscellaneous
ESK,ETHERSTACK PLC,0.445,1.13636364,0.005,Strong Buy,399,177.555,56209400,18.56540084,0.0245,,Technology Services
LME,LIMEADE INC.,0.215,-10.41666667,-0.025,Strong Sell,7130,1532.95,56052400,,-0.0531,300,Technology Services
MRR,MINREX RESOURCES LIMITED,0.05,-3.84615385,-0.002,Sell,2338180,116909,55977468,,-0.0038,,Non-Energy Minerals
PAB,PATRYS LIMITED,0.026,-3.7037037,-0.001,Buy,1034702,26902.252,55538995,,-0.0035,,Health Technology
IIQ,INOVIQ LTD,0.545,-9.16666667,-0.055,Strong Sell,50524,27535.58,55211222,,-0.0717,,Health Services
KAI,KAIROS MINERALS LIMITED,0.028,0,0,Neutral,1318686,36923.208,54994620,,-0.001,,Non-Energy Minerals
MAP,MICROBA LIFE SCIENCES LIMITED,0.21,2.43902439,0.005,Sell,1158037,243187.77,54871600,,-0.0418,,Health Technology
CSX,CLEANSPACE HOLDINGS LIMITED,0.705,-0.70422535,-0.005,Sell,11744,8279.52,54683860,,-0.1465,,Health Technology
XPN,XPON TECHNOLOGIES GROUP LIMITED,0.165,-2.94117647,-0.005,Sell,16344,2696.76,54649500,,-0.0208,,Technology Services
SMN,STRUCTURAL MONITORING SYSTEMS PLC,0.4,0,0,Strong Sell,38339,15335.6,54499000,,-0.031,,Electronic Technology
RMI,RESOURCE MINING CORPORATION LIMITED,0.13,0,0,Buy,98083,12750.79,54362496,11.40350877,0.0114,,Non-Energy Minerals
CPH,CRESO PHARMA LIMITED,0.039,2.63157895,0.001,Neutral,2621330,102231.87,54267533,,-0.0146,,Health Technology
HGO,HILLGROVE RESOURCES LIMITED,0.038,-17.39130435,-0.008,Strong Sell,1487657,56530.966,54017291,,-0.0051,,Non-Energy Minerals
STP,STEP ONE CLOTHING LIMITED,0.277,-4.48275862,-0.013,Sell,12310,3409.87,53748686,,-0.0192,,Retail Trade
CBR,CARBON REVOLUTION LIMITED,0.265,1.92307692,0.005,Sell,207566,55004.99,53683861,,-0.2084,,Producer Manufacturing
LVT,LIVETILES LIMITED,0.051,-12.06896552,-0.007,Neutral,16748999,854198.949,53546835,,-0.0083,,Technology Services
ASP,ASPERMONT LIMITED.,0.019,-13.63636364,-0.003,Strong Sell,359035,6821.665,53442248,,-0.0002,76,Consumer Services
IVR,INVESTIGATOR RESOURCES LTD,0.04,0,0,Sell,1791049,71641.96,53292543,,-0.0015,,Non-Energy Minerals
DNA,DONACO INTERNATIONAL LIMITED,0.045,4.65116279,0.002,Buy,10000,450,53067686,,-0.0134,,Consumer Services
DTR,DATELINE RESOURCES LIMITED,0.096,-2.04081633,-0.002,Sell,393533,37779.168,52900182,,-0.0241,,Non-Energy Minerals
CPV,CLEARVUE TECHNOLOGIES LIMITED,0.225,-8.90688259,-0.022,Strong Sell,205360,46206,52479986,,-0.0199,,Electronic Technology
AAR,ASTRAL RESOURCES NL,0.089,1.13636364,0.001,Buy,624980,55623.22,52463775,,-0.0061,,Non-Energy Minerals
MYE,METAROCK GROUP LIMITED,0.415,3.75,0.015,Sell,34827,14453.205,52397022,108.10810811,0.0049,,Industrial Services
ENR,ENCOUNTER RESOURCES LIMITED,0.165,0,0,Buy,60014,9902.31,52340779,6.47058824,0.026,,Non-Energy Minerals
DGR,DGR GLOBAL LIMITED,0.049,-2,-0.001,Sell,60817,2980.033,52184675,,-0.008,,Non-Energy Minerals
GAS,STATE GAS LIMITED,0.26,0,0,Buy,50905,13235.3,51956398,,-0.0064,,Energy Minerals
TAM,TANAMI GOLD NL,0.044,0,0,Sell,157423,6926.612,51704275,5.56962025,0.0079,,Non-Energy Minerals
S2R,S2 RESOURCES LTD,0.145,0,0,Sell,62226,9022.77,51674351,,-0.0258,,Non-Energy Minerals
PPG,PRO-PAC PACKAGING LIMITED,0.635,2.41935484,0.015,Buy,12662,8040.37,51455579,28.18181818,0.022,,Process Industries
IMR,IMRICOR MEDICAL SYSTEMS INC.,0.36,12.5,0.04,Neutral,18577,6687.72,50975200,,-0.1927,,Health Technology
MEU,MARMOTA LIMITED,0.05,4.16666667,0.002,Neutral,868062,43403.1,50177596,,-0.0004,,Non-Energy Minerals
ERM,EMMERSON RESOURCES LIMITED,0.092,0,0,Sell,131883,12133.236,50113305,,-0.0033,,Non-Energy Minerals
SVY,STAVELY MINERALS LIMITED,0.16,3.22580645,0.005,Sell,166096,26575.36,50057971,,-0.0751,,Non-Energy Minerals
KME,KIP MCGRATH EDUCATION CENTRES LIMITED,0.955,7.90960452,0.07,Sell,1329,1269.195,50019609,25.50432277,0.0354,,Consumer Services
CHZ,CHESSER RESOURCES LIMITED,0.085,0,0,Sell,1610507,136893.095,49990465,,-0.0075,,Non-Energy Minerals
KKO,KINETIKO ENERGY LTD,0.094,28.76712329,0.021,Strong Buy,1544199,145154.706,49937399,,-0.0045,,Energy Minerals
AR3,AUSTRALIAN RARE EARTHS LIMITED,0.375,-2.5974026,-0.01,Sell,89791,33671.625,49856700,,-0.0356,,Non-Energy Minerals
COD,CODA MINERALS LTD,0.4,0,0,Buy,120132,48052.8,49832841,,-0.1181,,Non-Energy Minerals
MAG,MAGMATIC RESOURCES LIMITED,0.195,0,0,Strong Buy,3910326,762513.57,49624924,,-0.0166,,Non-Energy Minerals
GGE,GRAND GULF ENERGY LIMITED,0.035,9.375,0.003,Strong Buy,17079163,597770.705,49491541,,-0.0127,,Energy Minerals
SNS,SENSEN NETWORKS LIMITED,0.076,-10.58823529,-0.009,Strong Sell,217566,16535.016,49486848,,-0.0202,,Technology Services
AMX,AEROMETREX LIMITED,0.515,-0.3868472,-0.002,Buy,2400,1236,48851999,,-0.0172,118,Industrial Services
HRN,HORIZON GOLD LIMITED,0.36,-7.69230769,-0.03,Strong Sell,5000,1800,48820838,,-0.0154,1,Non-Energy Minerals
CZR,CZR RESOURCES LTD,0.016,14.28571429,0.002,Strong Buy,10541964,168671.424,48808527,,-0.0014,,Non-Energy Minerals
CYP,CYNATA THERAPEUTICS LIMITED,0.34,0,0,Sell,10380,3529.2,48714043,,-0.038,,Health Technology
PPL,PUREPROFILE LTD,0.042,-4.54545455,-0.002,Strong Sell,57483,2414.286,48708993,,-0.002,,Commercial Services
RNO,RHINOMED LIMITED,0.17,-5.55555556,-0.01,Sell,59400,10098,48572349,,-0.0201,,Health Technology
FFI,FFI HOLDINGS LIMITED,4.65,3.10421286,0.14,Sell,1100,5115,48529259,39.91150442,0.113,,Consumer Non-Durables
LER,LEAF RESOURCES LTD,0.027,0,0,Sell,655819,17707.113,48468300,,-0.0038,,Commercial Services
PTG,PROPTECH GROUP LIMITED,0.32,6.66666667,0.02,Buy,85004,27201.28,48263173,,-0.0175,152,Technology Services
EBG,EUMUNDI GROUP LIMITED,1.12,2.75229358,0.03,Strong Buy,5555,6221.6,48050984,6.51135006,0.1674,,Consumer Services
VAN,VANGO MINING LIMITED,0.039,2.63157895,0.001,Sell,415837,16217.643,47877628,,-0.0033,,Non-Energy Minerals
CPN,CASPIN RESOURCES LIMITED,0.625,-2.34375,-0.015,Sell,52932,33082.5,47834052,,-0.0258,,Non-Energy Minerals
CMP,COMPUMEDICS LIMITED,0.27,3.84615385,0.01,Buy,5616,1516.32,47833994,32.5,0.008,,Health Technology
VMS,VENTURE MINERALS LIMITED,0.028,0,0,Sell,384086,10754.408,47807543,,-0.0174,,Non-Energy Minerals
CV1,CV CHECK LTD,0.105,-4.54545455,-0.005,Strong Sell,744450,78167.25,47765559,,-0.0035,,Commercial Services
MCL,MIGHTY CRAFT LIMITED,0.15,3.44827586,0.005,Sell,673702,101055.3,47543046,,-0.0649,,Finance
JAT,JATCORP LIMITED,0.019,0,0,Neutral,2269748,43125.212,47461080,,-0.0036,,Process Industries
MMA,MARONAN METALS LIMITED,0.32,-1.53846154,-0.005,Sell,20000,6400,47250000,,-0.0027,,Non-Energy Minerals
ARV,ARTEMIS RESOURCES LIMITED,0.031,-8.82352941,-0.003,Strong Sell,625200,19381.2,47203258,,-0.0072,,Non-Energy Minerals
LNR,LANTHANEIN RESOURCES LTD,0.06,22.44897959,0.011,Strong Buy,52437916,3146274.96,47178451,,-0.0019,,Non-Energy Minerals
DDB,DYNAMIC GROUP HOLDINGS LIMITED,0.4,29.03225806,0.09,Strong Buy,303989,121595.6,47154517,18.34319527,0.0178,,Industrial Services
CHM,CHIMERIC THERAPEUTICS LIMITED,0.11,0,0,Sell,400660,44072.6,46780608,,-0.0396,,Health Technology
AKM,ASPIRE MINING LIMITED,0.094,2.17391304,0.002,Strong Buy,174665,16418.51,46702603,,-0.0012,,Energy Minerals
MTC,METALSTECH LIMITED,0.285,1.78571429,0.005,Sell,40277,11478.945,46666087,45.16129032,0.0062,,Non-Energy Minerals
LKO,LAKES BLUE ENERGY NL,0.001,0,0,Sell,518280,518.28,46554604,,-0.0001,,Energy Minerals
HMD,HERAMED LIMITED,0.17,-12.82051282,-0.025,Buy,2619791,445364.47,46408454,,-0.0531,,Technology Services
SWF,SELFWEALTH LIMITED,0.205,5.12820513,0.01,Buy,81117,16628.985,46187612,,-0.0267,,Finance
AHQ,ALLEGIANCE COAL LIMITED,0.105,-4.54545455,-0.005,Sell,869534,91301.07,46180214,,-0.1638,,Energy Minerals
FTZ,FERTOZ LIMITED,0.18,0,0,Sell,181511,32671.98,46080271,,-0.0194,,Process Industries
CUE,CUE ENERGY RESOURCES LIMITED,0.066,0,0,Sell,20408,1346.928,46075903,2.86956522,0.023,,Energy Minerals
BNL,BLUE STAR HELIUM LIMITED,0.031,6.89655172,0.002,Neutral,4151160,128685.96,45998930,,-0.0011,,Process Industries
AE1,AERISON GROUP LTD,0.2,33.33333333,0.05,Strong Buy,45261,9052.2,45890627,8.19672131,0.0183,,Finance
8VI,8VI HOLDINGS LIMITED,1.03,-3.28638498,-0.035,Sell,1406,1448.18,45771900,26.82619647,0.0454,,Commercial Services
PSC,PROSPECT RESOURCES LIMITED,0.099,0,0,Sell,286090,28322.91,45763686,,-0.0132,,Process Industries
GRV,GREENVALE MINING LTD,0.115,0,0,Sell,534064,61417.36,45686990,,-0.0197,,Energy Minerals
TOY,TOYS'R'US ANZ LIMITED,0.048,-9.43396226,-0.005,Strong Sell,70704,3393.792,45678643,,-0.0099,,Distribution Services
MXC,MGC PHARMACEUTICALS LTD,0.016,0,0,Strong Sell,803168,12850.688,45610358,,-0.0067,,Health Technology
UBN,URBANISE.COM LIMITED,0.8,0,0,Buy,40101,32080.8,45441044,,-0.1044,81,Commercial Services
FME,FUTURE METALS NL,0.115,0,0,Strong Sell,266437,30640.255,45372239,,,,Non-Energy Minerals
IXU,IXUP LIMITED,0.044,0,0,Sell,245000,10780,45361540,,-0.0156,,Technology Services
HTG,HARVEST TECHNOLOGY GROUP LTD,0.1,29.87012987,0.023,Buy,244269,24426.9,45347346,,-0.0214,,Technology Services
XAM,XANADU MINES LTD,0.031,-3.125,-0.001,Buy,706110,21889.41,45192330,,-0.0078,,Non-Energy Minerals
IXC,INVEX THERAPEUTICS LTD,0.59,-1.66666667,-0.01,Neutral,70219,41429.21,45092314,,-0.0526,,Health Technology
DXB,DIMERIX LIMITED,0.155,10.71428571,0.015,Buy,389543,60379.165,44922312,,-0.0347,,Health Technology
HRZ,HORIZON MINERALS LIMITED,0.07,-2.77777778,-0.002,Strong Sell,8338,583.66,44741885,9.8630137,0.0073,,Non-Energy Minerals
AUQ,ALARA RESOURCES LIMITED,0.061,-3.17460317,-0.002,Buy,218079,13302.819,44694044,,-0.0014,,Non-Energy Minerals
MPA,MAD PAWS HOLDINGS LIMITED,0.15,3.44827586,0.005,Buy,43823,6573.45,44588700,,-0.0419,,Technology Services
4DS,4DS MEMORY LIMITED,0.029,-3.33333333,-0.001,Strong Sell,2700726,78321.054,44392964,,-0.0048,,Technology Services
SUV,SUVO STRATEGIC MINERALS LIMITED,0.065,0,0,Buy,1492586,97018.09,44226460,,-0.0015,,Non-Energy Minerals
OPY,OPENPAY GROUP LTD,0.22,15.78947368,0.03,Sell,1371672,301767.84,44062949,,-0.6456,,Technology Services
KNI,KUNIKO LIMITED,0.73,-3.94736842,-0.03,Strong Sell,96496,70442.08,44054800,,-0.1444,,Producer Manufacturing
PV1,PROVARIS ENERGY LTD,0.078,-2.5,-0.002,Buy,165106,12878.268,43862436,,-0.013,,Energy Minerals
INV,INVESTSMART GROUP LIMITED,0.312,0.64516129,0.002,Neutral,48,14.976,43134600,,-0.0067,,Finance
RXL,ROX RESOURCES LIMITED,0.245,-3.92156863,-0.01,Sell,267437,65522.065,43079941,,-0.0869,11,Non-Energy Minerals
RPM,RPM AUTOMOTIVE GROUP LIMITED,0.265,0,0,Sell,54000,14310,42865531,,0.0193,,Energy Minerals
CF1,COMPLII FINTECH SOLUTIONS LTD,0.085,2.40963855,0.002,Buy,266348,22639.58,42668641,415,0.0002,,Non-Energy Minerals
IBX,IMAGION BIOSYSTEMS LIMITED,0.036,-5.26315789,-0.002,Strong Sell,2091882,75307.752,42610101,,-0.0095,,Health Technology
ST1,SPIRIT TECHNOLOGY SOLUTIONS LTD,0.075,17.1875,0.011,Buy,707286,53046.45,42542311,,-0.0808,,Communications
MRC,MINERAL COMMODITIES LTD,0.081,2.53164557,0.002,Sell,5257,425.817,42303759,,-0.0229,,Non-Energy Minerals
PXS,PHARMAXIS LTD,0.076,-1.2987013,-0.001,Strong Sell,260582,19804.232,42283753,,-0.0083,,Health Technology
EPM,ECLIPSE METALS LIMITED.,0.022,0,0,Sell,1054858,23206.876,42264779,,-0.0006,,Non-Energy Minerals
RAD,RADIOPHARM THERANOSTICS LIMITED,0.165,0,0,Sell,166957,27547.905,42146487,,-0.1674,,Technology Services
DGH,DESANE GROUP HOLDINGS LIMITED,1.02,-0.97087379,-0.01,Strong Sell,10000,10200,42137287,9.42731278,0.1135,5,Finance
GBE,GLOBE METALS & MINING LIMITED,0.09,0,0,Buy,8687,781.83,41933014,,-0.0035,,Non-Energy Minerals
KYK,KYCKR LIMITED,0.078,0,0,Buy,305918,23861.604,41932789,,-0.0121,,Commercial Services
PNC,PIONEER CREDIT LIMITED,0.37,-2.63157895,-0.01,Strong Sell,7700,2849,41883009,,-0.4029,,Finance
MPX,MUSTERA PROPERTY GROUP LIMITED,0.29,1.75438596,0.005,Buy,103,29.87,41828184,,-0.0156,,Finance
AGN,ARGENICA THERAPEUTICS LIMITED,0.485,0,0,Buy,966,468.51,41722700,,-0.0553,,Health Technology
PFG,PRIME FINANCIAL GROUP LIMITED,0.215,0,0,Buy,50000,10750,41708616,11.19791667,0.0193,,Finance
MM8,MEDALLION METALS LIMITED.,0.18,0,0,Sell,198483,35726.94,41473355,,-0.0122,,Non-Energy Minerals
MKR,MANUKA RESOURCES LTD.,0.145,-9.375,-0.015,Strong Sell,147891,21444.195,41472955,4.92307692,0.0365,,Non-Energy Minerals
IAM,INCOME ASSET MANAGEMENT GROUP LIMITED.,0.155,3.33333333,0.005,Strong Sell,5380,833.9,41433125,,,,Consumer Services
AHI,ADVANCED HUMAN IMAGING LTD,0.175,-28.57142857,-0.07,Neutral,1340030,234505.25,41221098,,-0.134,,Technology Services
CY5,CYGNUS GOLD LIMITED,0.3,7.14285714,0.02,Strong Buy,724704,217411.2,41211889,,-0.0178,,Non-Energy Minerals
AMS,ATOMOS LIMITED,0.18,-2.7027027,-0.005,Sell,2372006,426961.08,41135042,,-0.03,,Consumer Durables
TGM,THETA GOLD MINES LIMITED,0.074,5.71428571,0.004,Buy,78976,5844.224,41076837,,-0.014,,Non-Energy Minerals
GBR,GREAT BOULDER RESOURCES LIMITED,0.097,-3,-0.003,Sell,622792,60410.824,41018604,,-0.0062,,Non-Energy Minerals
IOU,IOUPAY LIMITED,0.07,-5.40540541,-0.004,Strong Sell,1535221,107465.47,40996895,,-0.0174,,Technology Services
BNR,BULLETIN RESOURCES LIMITED,0.14,0,0,Buy,744732,104262.48,40962753,6.25,0.024,2,Non-Energy Minerals
DTC,DAMSTRA HOLDINGS LIMITED,0.16,0,0,Sell,705695,112911.2,40936850,,-0.3285,,Technology Services
AR9,ARCHTIS LIMITED,0.15,-3.22580645,-0.005,Strong Sell,232101,34815.15,40889500,,-0.0381,,Technology Services
LEX,LEFROY EXPLORATION LIMITED,0.29,-4.91803279,-0.015,Sell,65508,18997.32,40845000,,-0.0126,,Miscellaneous
ASW,ADVANCED SHARE REGISTRY LIMITED,0.21,0,0,Strong Sell,27968,5873.28,40615632,23.07692308,0.0091,,Finance
HMX,HAMMER METALS LIMITED,0.049,0,0,Sell,1672340,81944.66,40182903,,-0.0004,,Non-Energy Minerals
BIT,BIOTRON LIMITED,0.055,-3.50877193,-0.002,Strong Sell,123717,6804.435,40010166,,-0.004,,Health Technology
WLD,WELLARD LIMITED,0.075,0,0,Sell,45869,3440.175,39843774,2.88461538,0.026,,Transportation
AHF,AUSTRALIAN DAIRY NUTRITIONALS GROUP,0.07,-2.77777778,-0.002,Sell,178281,12479.67,39836319,,-0.0081,,Consumer Non-Durables
DVR,DIVERGER LIMITED,1.045,-0.47619048,-0.005,Buy,6761,7065.245,39493443,11.79775281,0.0947,,Finance
AME,ALTO METALS LIMITED,0.068,-6.84931507,-0.005,Strong Sell,40823,2775.964,39021235,,-0.0048,,Non-Energy Minerals
PCK,PAINCHEK LTD,0.031,3.33333333,0.001,Buy,1233718,38245.258,38892161,,-0.0049,,Technology Services
EME,ENERGY METALS LTD,0.175,-5.40540541,-0.01,Buy,28409,4971.575,38791415,,-0.0039,,Non-Energy Minerals
TMK,TMK ENERGY LIMITED,0.011,0,0,Buy,3983883,43822.713,38728594,,,,Energy Minerals
CAY,CANYON RESOURCES LIMITED,0.047,-2.08333333,-0.001,Sell,209366,9840.202,38708259,,-0.0168,,Non-Energy Minerals
BKG,BOOKTOPIA GROUP LIMITED,0.26,-7.14285714,-0.02,Strong Sell,251886,65490.36,38460604,,-0.1101,,Retail Trade
APC,AUSTRALIAN POTASH LIMITED,0.037,-2.63157895,-0.001,Sell,884976,32744.112,38398182,,-0.0078,,Non-Energy Minerals
KRM,KINGSROSE MINING LIMITED,0.051,0,0,Sell,354272,18067.872,38378850,,-0.0111,,Non-Energy Minerals
SPX,SPENDA LIMITED,0.013,8.33333333,0.001,Buy,4167315,54175.095,38372819,,-0.0158,,Technology Services
BLG,BLUGLASS LIMITED,0.032,6.66666667,0.002,Strong Buy,1811784,57977.088,38272587,,-0.0088,,Electronic Technology
WWI,WEST WITS MINING LIMITED,0.018,-5.26315789,-0.001,Sell,2738154,49286.772,38190713,,-0.0018,,Non-Energy Minerals
FAL,FALCON METALS LTD,0.215,0,0,Sell,44824,9637.16,38055000,,,,Non-Energy Minerals
PHO,PHOSCO LTD,0.14,16.66666667,0.02,Buy,58360,8170.4,37787982,2.34833659,0.0511,,Non-Energy Minerals
VRS,VERIS LIMITED,0.072,2.85714286,0.002,Buy,998000,71856,37709959,,-0.0033,,Industrial Services
BBX,BBX MINERALS LIMITED,0.081,5.19480519,0.004,Buy,834839,67621.959,37423652,,-0.0045,,Non-Energy Minerals
FML,FOCUS MINERALS LTD,0.13,-7.14285714,-0.01,Strong Sell,150000,19500,37252624,,-0.0366,,Non-Energy Minerals
XTE,XTEK LIMITED.,0.375,1.35135135,0.005,Sell,126605,47476.875,37229489,5.90111643,0.0627,,Electronic Technology
AZI,ALTAMIN LIMITED,0.095,4.3956044,0.004,Strong Buy,53001,5035.095,37213089,,-0.0187,,Non-Energy Minerals
KSN,KINGSTON RESOURCES LIMITED,0.086,-4.44444444,-0.004,Sell,147641,12697.126,37205699,,-0.0016,,Non-Energy Minerals
EYE,NOVA EYE MEDICAL LIMITED,0.255,0,0,Buy,5000,1275,37122849,,-0.0516,,Health Technology
JAY,JAYRIDE GROUP LIMITED,0.21,0,0,Strong Buy,106,22.26,37034971,,-0.0295,,Technology Services
PGD,PEREGRINE GOLD LTD,0.732,1.66666667,0.012,Buy,24726,18099.432,36988900,,-0.081,,Non-Energy Minerals
GTG,GENETIC TECHNOLOGIES LIMITED,0.004,0,0,Neutral,1170000,4680,36935861,,-0.0008,,Health Technology
GPR,GEOPACIFIC RESOURCES LTD,0.072,1.4084507,0.001,Sell,60065,4324.68,36866513,,-0.119,,Non-Energy Minerals
HAL,HALO TECHNOLOGIES HOLDINGS LTD,0.29,-3.33333333,-0.01,Sell,69271,20088.59,36843800,,,,Finance
EDC,EILDON CAPITAL GROUP,0.9,0,0,Sell,3594,3234.6,36841600,18.98734177,0.0476,,Finance
TSO,TESORO GOLD LTD,0.038,-5,-0.002,Strong Sell,6421621,244021.598,36699700,,-0.0092,,Non-Energy Minerals
AUZ,AUSTRALIAN MINES LIMITED,0.08,2.56410256,0.002,Sell,172808,13824.64,36559680,,-0.0106,,Non-Energy Minerals
K2F,K2FLY LIMITED,0.215,2.38095238,0.005,Buy,3280542,705316.53,36498884,,-0.0318,,Commercial Services
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,0.285,0,0,Sell,11022,3141.27,36370122,,-0.0102,,Consumer Services
CDX,CARDIEX LIMITED,0.29,-3.33333333,-0.01,Strong Sell,268134,77758.86,36330814,,-0.0917,,Health Technology
ATH,ALTERITY THERAPEUTICS LIMITED,0.015,0,0,Sell,1236728,18550.92,36103117,,-0.0053,12,Health Technology
DKM,DUKETON MINING LIMITED,0.3,1.69491525,0.005,Buy,25000,7500,36000453,,-0.0343,,Non-Energy Minerals
LNY,LANEWAY RESOURCES LTD,0.005,0,0,Buy,941518,4707.59,35959091,,-0.0002,,Non-Energy Minerals
REE,RAREX LIMITED,0.061,-3.17460317,-0.002,Strong Sell,925301,56443.361,35905375,,-0.0132,,Non-Energy Minerals
3DA,AMAERO INTERNATIONAL LTD,0.14,0,0,Sell,453496,63489.44,35822746,,-0.0385,,Process Industries
GW1,GREENWING RESOURCES LTD,0.28,-3.44827586,-0.01,Buy,223931,62700.68,35741731,,-0.09,,Non-Energy Minerals
STN,SATURN METALS LIMITED,0.27,-1.81818182,-0.005,Sell,57977,15653.79,35722277,,-0.02,,Non-Energy Minerals
AV1,ADVERITAS LIMITED,0.083,3.75,0.003,Neutral,454398,37715.034,35608678,,-0.0214,,Technology Services
ANL,AMANI GOLD LIMITED,0.001,0,0,Sell,5801000,5801,35540162,,,,Non-Energy Minerals
CIW,CLIME INVESTMENT MANAGEMENT LTD,0.49,-2.97029703,-0.015,Strong Sell,28871,14146.79,35414789,459.09090909,0.0013,,Finance
AT1,ATOMO DIAGNOSTICS LIMITED,0.06,-3.22580645,-0.002,Strong Sell,231760,13905.6,35395241,,-0.01,,Health Technology
KTG,K-TIG LIMITED,0.17,-12.82051282,-0.025,Sell,144971,24645.07,35316696,,-0.0343,,Producer Manufacturing
MZZ,MATADOR MINING LIMITED,0.11,-12,-0.015,Strong Sell,446547,49120.17,35261391,,-0.0272,,Non-Energy Minerals
SHP,SOUTH HARZ POTASH LTD,0.063,-4.54545455,-0.003,Sell,776907,48945.141,35121321,,-0.01,,Non-Energy Minerals
KNM,KNEOMEDIA LIMITED,0.027,3.84615385,0.001,Buy,1024063,27649.701,34992821,,-0.0027,,Technology Services
DCG,DECMIL GROUP LIMITED,0.21,-6.66666667,-0.015,Sell,66049,13870.29,34968146,,-0.6664,343,Miscellaneous
TBA,TOMBOLA GOLD LTD,0.031,-3.125,-0.001,Sell,1362986,42252.566,34941209,,-0.0068,,Non-Energy Minerals
NAG,NAGAMBIE RESOURCES LIMITED,0.068,-6.84931507,-0.005,Neutral,7455,506.94,34893942,,-0.0043,,Non-Energy Minerals
AXP,AXP ENERGY LIMITED,0.006,0,0,Buy,2928161,17568.966,34873084,5,0.0012,,Energy Minerals
OKR,OKAPI RESOURCES LIMITED,0.265,3.92156863,0.01,Buy,329007,87186.855,34664404,,-0.0759,,Non-Energy Minerals
CTE,CRYOSITE LIMITED,0.71,0,0,Buy,15026,10668.46,34654788,25.44802867,0.0279,22,Transportation
DOC,DOCTOR CARE ANYWHERE GROUP PLC,0.1,0,0,Sell,1114018,111401.8,34614200,,-0.1279,,Health Services
BML,BOAB METALS LIMITED,0.22,-2.22222222,-0.005,Sell,252280,55501.6,34536043,,-0.0436,,Non-Energy Minerals
MGL,MAGONTEC LIMITED,0.435,-3.33333333,-0.015,Buy,6999,3044.565,34528144,2.10280374,0.2304,,Non-Energy Minerals
AMO,AMBERTECH LIMITED,0.38,2.7027027,0.01,Buy,6006,2282.28,34426585,12.33333333,0.042,,Distribution Services
MOZ,MOSAIC BRANDS LIMITED,0.31,-3.125,-0.01,Neutral,172456,53461.36,34420136,8.0604534,0.0397,,Retail Trade
SOV,SOVEREIGN CLOUD HOLDINGS LIMITED,0.202,-3.80952381,-0.008,Sell,25070,5064.14,34364321,,-0.1124,,Technology Services
MCE,MATRIX COMPOSITES & ENGINEERING LIMITED,0.235,0,0,Strong Buy,212600,49961,34326785,,-0.0391,,Industrial Services
VR8,VANADIUM RESOURCES LIMITED,0.08,11.11111111,0.008,Buy,37499542,2999963.36,34092891,,-0.003,,Non-Energy Minerals
NGY,NUENERGY GAS LIMITED,0.023,0,0,Sell,1769,40.687,34061975,,-0.0029,,Energy Minerals
DEM,DE.MEM LIMITED,0.14,0,0,Sell,76801,10752.14,34046887,,-0.0212,,Distribution Services
OSX,OSTEOPORE LIMITED,0.285,0,0,Buy,31419,8954.415,33421446.00000001,,-0.0359,,Health Technology
AHC,AUSTCO HEALTHCARE LIMITED,0.115,0,0,Buy,128669,14796.935,33014852,7.98611111,0.0145,,Electronic Technology
QHL,QUICKSTEP HOLDINGS LIMITED,0.45,-2.17391304,-0.01,Buy,7173,3227.85,32994058.00000001,41.81818182,0.011,,Electronic Technology
